5.331563355241735191e-01,4.980010446270388691e-01,4.924239647406604137e-01,5.174304340662255752e-01,4.923816970977288321e-01,4.969323951703757403e-01,5.182153029989406967e-01,5.263269653874008691e-01,4.922201226619601355e-01,5.130343996591985034e-01,5.183519601548712830e-01,4.964125697297303019e-01,5.145355763117017700e-01,4.964753994592354114e-01,5.071134152015097651e-01,5.121770925865291035e-01,5.053680137670504280e-01,5.099042891784338893e-01,4.966806489162389204e-01,4.986889679012141974e-01,5.326567689039384268e-01,4.964728393116750738e-01,4.900157609809545622e-01,5.086603779404892389e-01,4.975301311234919810e-01,5.025808348642262224e-01
5.693994298658655584e-01,5.653543217050310821e-01,5.308220239395347040e-01,5.716424453704509467e-01,5.239930071733649442e-01,5.367119637932051823e-01,5.413353207863134120e-01,5.358246270070597950e-01,4.990181601985010373e-01,5.096794545093958906e-01,5.348038815958819914e-01,5.025004810249945608e-01,5.075322678983857916e-01,4.941002843008944767e-01,4.961410733047764698e-01,4.961870649961647173e-01,4.900081234618216541e-01,5.216099118498918052e-01,4.979389621327806048e-01,4.943764393273376578e-01,5.077647305208151662e-01,4.649449374181910399e-01,4.982528676839177995e-01,4.726049060287386139e-01,4.923167851897365388e-01,4.966057565806314411e-01
6.612256730937875471e-01,6.381427696118089354e-01,6.139696316026905798e-01,6.387896194389679483e-01,6.137945783308310643e-01,6.067915159682865101e-01,5.917132438207051148e-01,5.639762097863459944e-01,5.429364392179543142e-01,5.269562643845586702e-01,5.048579249650551048e-01,4.889746860339897472e-01,4.910796324324792628e-01,4.699291540814298784e-01,4.996016297994068656e-01,4.944850579753930497e-01,4.603897674311723254e-01,4.664752394308092631e-01,4.869726585408928332e-01,5.029020922118427883e-01,4.789066512237654671e-01,5.061633771681987026e-01,4.857572363197746879e-01,5.174744797617516490e-01,4.976109837180206497e-01,5.230115692342579559e-01
7.252665507285277480e-01,6.852763325980052445e-01,6.743157732918486635e-01,6.957335547186185298e-01,6.539346371644521039e-01,6.291573947336662753e-01,6.025025670589646554e-01,5.835221768644311968e-01,5.753020864587964356e-01,5.568923544163338901e-01,5.158066762147966999e-01,4.929654321414835838e-01,4.810611905844959790e-01,4.926004534969038451e-01,4.922201907824659273e-01,4.968213124320068896e-01,4.705008524992153052e-01,4.751885717247872343e-01,4.951195758403085789e-01,4.769974235221922099e-01,5.041685917262312966e-01,5.216782678821664243e-01,5.220713610161504814e-01,5.353716447763651187e-01,4.661846361523777071e-01,4.825485346705867817e-01
7.980219295045606342e-01,7.761785778328165186e-01,7.448790984017314987e-01,7.796109979985290650e-01,6.933216196814241394e-01,6.754962281874127283e-01,6.528754175135156324e-01,6.241228649816562557e-01,5.831739111002167686e-01,5.798090209872733825e-01,5.124764911220703878e-01,5.311035197322406809e-01,5.041123671080091073e-01,4.906647136856269742e-01,4.890311343508133013e-01,4.955278548232132096e-01,4.816537429992516217e-01,4.837200732756591903e-01,4.934899936731878545e-01,4.623639341518670509e-01,4.815484393207521419e-01,4.764617360198450946e-01,5.067292182845610782e-01,5.726156591032887100e-01,4.981271379438097502e-01,4.728329178085001194e-01
8.681958131283136204e-01,8.330630759700168309e-01,8.160705553045002336e-01,7.691053891422652278e-01,7.554911902574893423e-01,7.272167146567534157e-01,7.223286169294472758e-01,6.650239189234137260e-01,5.883932938394133005e-01,5.960500814959678317e-01,5.580823869839341977e-01,5.228345835541104991e-01,4.754583213229262029e-01,4.672197912333715397e-01,4.747367767124688331e-01,4.594812866884632752e-01,4.792363833237158754e-01,4.762348169119391961e-01,4.813124370010554709e-01,4.792643018473861649e-01,4.904681913454957964e-01,5.094795196709446250e-01,5.029152521936293141e-01,5.615296982010549165e-01,4.922477117518677114e-01,4.777494628402746413e-01
9.162753651283335188e-01,8.824952128178739086e-01,8.631567303762485155e-01,8.234543453247167299e-01,8.032014329727534818e-01,7.665488458385316672e-01,7.218167798664173462e-01,6.647237271280612703e-01,6.417059202842482213e-01,5.975758948825744543e-01,5.114786123609581514e-01,4.981826912334529900e-01,4.646339193484119168e-01,4.631892440122173382e-01,4.666165313978843932e-01,5.185351939428489709e-01,4.798020989695011007e-01,4.876819716329900967e-01,4.848730337288791326e-01,4.764442184404804603e-01,4.734116901156272261e-01,4.770168812936143032e-01,4.801108860804594314e-01,5.497598227414935979e-01,4.697653300107179075e-01,4.886533172514380685e-01
9.729075243525641126e-01,9.241239870190055550e-01,8.829244753695442149e-01,8.519205718284674766e-01,8.183391088623701570e-01,8.069584962927284222e-01,7.190933227082149104e-01,7.087504748931028331e-01,6.701971682273752950e-01,6.147816545348354644e-01,5.530983910878312093e-01,4.942515245438623417e-01,4.659279860913245197e-01,4.668543789367964880e-01,4.729288857163567172e-01,4.781621960315705078e-01,4.575683722750726878e-01,4.890398592177293002e-01,4.816122405079259483e-01,4.923157465228720775e-01,5.077998737441434818e-01,4.832750673112793938e-01,4.913673363650714054e-01,6.270296507029244903e-01,4.722136719727136889e-01,4.701988451927239798e-01
9.646568965856787692e-01,9.503403178500414716e-01,9.311577335906707775e-01,9.093184179870258399e-01,8.626167692974332502e-01,8.185002040835395176e-01,7.543317475735660249e-01,7.319549329932221182e-01,6.551758839477673790e-01,6.132124155404181653e-01,5.668373897905608638e-01,5.033483108645292470e-01,4.377454586318862972e-01,4.603965052381511214e-01,4.599122432892593371e-01,4.823770621262200575e-01,4.619114201322531699e-01,4.908957605230248045e-01,4.679473023695085998e-01,4.826668798515554304e-01,4.732035357031902922e-01,4.810648137422139370e-01,4.733126574960578870e-01,6.421826953797117321e-01,4.815438610310162071e-01,4.737273666853736298e-01
9.778741529016472533e-01,9.513076215997867680e-01,9.420970070041463362e-01,9.188068683789564206e-01,8.741654968582422969e-01,8.726451774281294149e-01,8.192586530779277787e-01,7.519755466043644976e-01,6.678680879956792049e-01,6.252301805687267011e-01,5.669153052435765838e-01,5.024324318933635070e-01,4.428347028138406860e-01,4.432962392196759804e-01,4.459027375356249268e-01,4.567513057502944895e-01,4.568616148056210968e-01,4.666142582485846013e-01,4.741865343745025330e-01,4.651196346925978164e-01,5.234849629834367191e-01,4.913113978043078811e-01,4.808579092286781598e-01,6.786130828834671114e-01,4.795369576098384989e-01,4.779073783271259868e-01
